frag_id,fragment,count
1651,2808,552
1652,2079,552
1653,2553,551
1654,1695,545
1655,3282,545
1656,3275,544
1657,3017,543
1658,2899,541
1659,3319,540
1660,2335,538
1661,1610,538
1662,3088,536
1663,3486,536
1664,1443,533
1665,1788,533
1666,2848,531
1667,2750,526
1668,1702,524
1669,2432,523
1670,2401,520
1671,2524,519
1672,3397,519
1673,3386,517
1674,1696,516
1675,3428,516
1676,1024,515
1677,2543,515
1678,3701,514
1679,3094,513
1680,2713,513
1681,3208,512
1682,2136,510
1683,3432,510
1684,3563,509
1685,2238,508
1686,2156,505
1687,3257,505
1688,1054,501
1689,3259,499
1690,3235,498
1691,3567,498
1692,3623,495
1693,3170,494
1694,2535,493
1695,1966,491
1696,2619,489
1697,2126,488
1698,3195,484
1699,2459,482
1700,3222,481
1701,2667,478
1702,3182,475
1703,3221,475
1704,3690,472
1705,2255,471
1706,3064,470
1707,2416,470
1708,3635,469
1709,2578,468
1710,2603,467
1711,1252,466
1712,3652,465
1713,3446,460
1714,1723,457
1715,2324,457
1716,3717,457
1717,2654,456
1718,3264,455
1719,2918,455
1720,3068,454
1721,2072,454
1722,3696,454
1723,3594,453
1724,2721,452
1725,1865,452
1726,3173,451
1727,2864,449
1728,2346,449
1729,3707,449
1730,2352,447
1731,3124,444
1732,2236,444
1733,2980,443
1734,3161,439
1735,3821,438
1736,2867,436
1737,2307,434
1738,2339,432
1739,4060,430
1740,1335,429
1741,1694,429
1742,2354,427
1743,2839,425
1744,4085,424
1745,3865,423
1746,2610,423
1747,3972,422
1748,2894,422
1749,3839,419
1750,91,419
1751,1536,417
1752,3765,416
1753,3602,416
1754,4378,416
1755,2043,414
1756,3394,414
1757,2322,414
1758,4388,414
1759,2714,413
1760,2133,413
1761,2140,413
1762,3882,411
1763,2429,410
1764,3494,410
1765,4233,408
1766,1194,407
1767,2217,406
1768,2705,405
1769,1794,404
1770,3420,402
1771,3389,401
1772,2069,400
1773,3450,397
1774,2766,397
1775,2836,396
1776,3139,396
1777,2026,395
1778,3660,395
1779,2755,394
1780,3338,392
1781,4074,390
1782,4480,388
1783,2629,388
1784,4282,385
1785,4077,384
1786,4174,384
1787,4041,384
1788,4228,384
1789,2194,378
1790,3293,378
1791,1189,378
1792,1334,376
